name,Number.of.Bordering.Countries,Bordering.countries
Afghanistan,6,"Iran: 935 km (581 mi) Pakistan: 2,670 km (1,660 mi) Tajikistan: 1,206 km (749 mi) Turkmenistan: 744 km (462 mi) Uzbekistan: 144 km (89 mi) China: 106 km (66 mi)"
Albania,4,Greece: 282 km (175 mi) Kosovo:[c] 112 km (70 mi) North Macedonia: 151 km (94 mi) Montenegro: 172 km (107 mi)
Algeria,6,"Libya: 982 km (610 mi) Mali: 1,376 km (855 mi) Mauritania: 463 km (288 mi) Morocco: 1,559 km (969 mi) Niger: 956 km (594 mi) Western Sahara:[d] 42 km (26 mi)"
Angola,4,"Democratic Republic of the Congo (2): 2,511 km (1,560 mi)[e] Republic of the Congo: 201 km (125 mi) Namibia: 1,376 km (855 mi) Zambia: 1,110 km (690 mi)"
Antarctica,NA,NA
Argentina,5,"Bolivia: 832 km (517 mi) Brazil: 1,224 km (761 mi) Chile (2): 5,300 km (3,300 mi)[f] Paraguay: 1,880 km (1,170 mi) Uruguay: 579 km (360 mi)"
Armenia,4,Azerbaijan (6): 787 km (489 mi)[g] Georgia: 164 km (102 mi) Iran: 35 km (22 mi) Turkey: 268 km (167 mi)
Australia,0,
Austria,8,Czech Republic: 362 km (225 mi) Germany: 784 km (487 mi) Hungary: 366 km (227 mi) Italy: 430 km (270 mi) Liechtenstein: 34 km (21 mi) Slovakia: 96 km (60 mi) Slovenia: 330 km (210 mi) Switzerland (2): 164 km (102 mi)
Azerbaijan,5,Armenia (6): 787 km (489 mi)[g] Georgia: 322 km (200 mi) Iran (2):[h] 432 km (268 mi) Russia: 284 km (176 mi) Turkey:[i] 9 km (5.6 mi)
Bahamas,0,
Bangladesh,2,"India (2), including Dahagram-Angarpota:[j] 4,053 km (2,518 mi) Myanmar: 193 km (120 mi)"
Belarus,5,Latvia: 141 km (88 mi) Lithuania: 502 km (312 mi) Poland: 407 km (253 mi) Russia (2):[k] 959 km (596 mi) Ukraine: 891 km (554 mi)
Belgium,4,France: 620 km (390 mi) Germany (6):[l] 167 km (104 mi) Luxembourg: 148 km (92 mi) Netherlands (31):[m] 450 km (280 mi)
Belize,2,Guatemala: 266 km (165 mi) Mexico: 250 km (160 mi)
Benin,4,Burkina Faso: 306 km (190 mi) Niger: 266 km (165 mi) Nigeria: 773 km (480 mi) Togo: 644 km (400 mi)
Bhutan,2,People's Republic of China: 470 km (290 mi) India: 605 km (376 mi)
Bolivia,5,"Argentina: 832 km (517 mi) Brazil: 3,400 km (2,100 mi) Chile: 861 km (535 mi) Paraguay: 750 km (470 mi) Peru: 900 km (560 mi)"
Bosnia and Herz.,3,Croatia (2): 932 km (579 mi) Montenegro: 225 km (140 mi) Serbia (2):[n] 302 km (188 mi)
Botswana,4,"Namibia: 1,360 km (850 mi) South Africa: 1,840 km (1,140 mi) Zambia: 0.15 km (0.093 mi) Zimbabwe: 813 km (505 mi)"
Brazil,10,"Argentina: 1,224 km (761 mi) Bolivia: 3,400 km (2,100 mi) Colombia: 1,643 km (1,021 mi) French Guiana[o] (France): 673 km (418 mi) Guyana: 1,119 km (695 mi) Paraguay: 1,290 km (800 mi) Peru: 1,560 km (970 mi) Suriname: 597 km (371 mi) Uruguay: 985 km (612 mi) Venezuela: 2,200 km (1,400 mi)"
Brunei,1,Malaysia (2): 381 km (237 mi)
Bulgaria,5,Greece: 494 km (307 mi) North Macedonia: 148 km (92 mi) Romania: 608 km (378 mi) Serbia: 318 km (198 mi) Turkey: 240 km (150 mi)
Burkina Faso,6,"Benin: 306 km (190 mi) Côte d'Ivoire: 584 km (363 mi) Ghana: 549 km (341 mi) Mali: 1,000 km (620 mi) Niger: 628 km (390 mi) Togo: 126 km (78 mi)"
Burundi,3,Democratic Republic of the Congo: 233 km (145 mi) Rwanda: 290 km (180 mi) Tanzania: 451 km (280 mi)
Cambodia,3,"Laos: 541 km (336 mi) Thailand: 803 km (499 mi) Vietnam: 1,228 km (763 mi)"
Cameroon,6,"Central African Republic: 797 km (495 mi) Chad: 1,094 km (680 mi) Republic of the Congo: 523 km (325 mi) Equatorial Guinea: 189 km (117 mi) Gabon: 298 km (185 mi) Nigeria: 1,690 km (1,050 mi)"
